Identifier,Dhatupatha,Dhatu,Pratyaya,Artha,Gana,Pad,Karmak,It_Sign,English_Meaning,Hindi_Meaning
०१.०००१,१),भू,भू,सत्तायाम्,भ्वादिः,परस्मैपदी,अकर्मकः,सेट्,"भू,भू, सत्तायाम् ,भ्वादिः, परस्मैपदी ,अकर्मकः ,सेट्  ,(to exist, to become, to be, to happen)",होना
०१.०००२,२),एध्,एधँ,वृद्धौ,भ्वादिः,आत्मनेपदी,अकर्मकः,सेट्,"एध्,एधँ, वृद्धौ ,भ्वादिः, आत्मनेपदी ,अकर्मकः ,सेट्  ,(to grow, to increase, to prosper, to extend, to swell, to rise)",बढना
०१.०००३,३),स्पर्ध्,स्पर्धँ,सङ्घर्षे,भ्वादिः,आत्मनेपदी,अकर्मकः,सेट्,"स्पर्ध्,स्पर्धँ, सङ्घर्षे ,भ्वादिः, आत्मनेपदी ,अकर्मकः ,सेट्  ,(to challenge, to compete, to conflict, to rival, to struggle)",संघर्ष करना
०१.०००४,४),गाध्,गाधृँ,प्रतिष्ठालिप्सयोर्ग्रन्थे च,भ्वादिः,आत्मनेपदी,सकर्मकः,सेट्,"गाध्,गाधृँ, प्रतिष्ठालिप्सयोर्ग्रन्थे च ,भ्वादिः, आत्मनेपदी ,सकर्मकः ,सेट्  ,(to praise oneself, to desire, to tie together, to string together, to seek, to stay together, to stand firmly, to compile)","यश प्राप्त करना, लेने की अभिलाषा करना"
०१.०००५,५),बाध्,बाधृँ,लोडने,रोटने,भ्वादिः,आत्मनेपदी,सकर्मकः,"बाध्,बाधृँ, लोडने, रोटने ,भ्वादिः, आत्मनेपदी ,सकर्मकः ,सेट्  ,(to oppress, to torment, to harass, to destroy, to infect, to torture)","रोकना , बाधा देना, दुःख देना"
०१.०००६,७),नाध्,नाधृँ,याच्ञोपतापैश्वर्याशीष्षु,भ्वादिः,आत्मनेपदी,सकर्मकः,सेट्,"नाध्,नाधृँ, याच्ञोपतापैश्वर्याशीष्षु ,भ्वादिः, आत्मनेपदी ,सकर्मकः ,सेट्  ,(to seek help, to beg, to irritate, to bless, to master)","याचना करना, रोगी होना, श्रीमान् होना, आशीर्वाद देना"
०१.०००७,६),नाथ्,नाथृँ,याच्ञोपतापैश्वर्याशीष्षु,भ्वादिः,आत्मनेपदी,सकर्मकः,सेट्,"नाथ्,नाथृँ, याच्ञोपतापैश्वर्याशीष्षु ,भ्वादिः, आत्मनेपदी ,सकर्मकः ,सेट्  ,(to seek help, to beg, to irritate, to bless, to master)","याचना करना, रोगी होना, श्रीमान् होना, आशीर्वाद देना"
०१.०००८,८),दध्,दधँ,धारणे,भ्वादिः,आत्मनेपदी,सकर्मकः,सेट्,"दध्,दधँ, धारणे ,भ्वादिः, आत्मनेपदी ,सकर्मकः ,सेट्  ,(to hold, to possess)","धारण करना, पालन करना, देना, अर्पण करना"
०१.०००९,९),स्कुन्द्,स्कुदिँ,आप्रवणे,भ्वादिः,आत्मनेपदी,सकर्मकः,सेट्,"स्कुन्द्,स्कुदिँ, आप्रवणे ,भ्वादिः, आत्मनेपदी ,सकर्मकः ,सेट्  ,(to jump, to raise, to lift up)","चलना, कूदना, ऊपर उठाना"
०१.००१०,१०),श्विन्द्,श्विदिँ,श्वैत्ये,भ्वादिः,आत्मनेपदी,अकर्मकः,सेट्,"श्विन्द्,श्विदिँ, श्वैत्ये ,भ्वादिः, आत्मनेपदी ,अकर्मकः ,सेट्  ,(to be white)","सफेद होना, शुभ्र होना"
